-305595;229375;49098
411533;201683;5708
511657;104515;77972
425063;15218;5423
-112027;178739;1078
170608;-617964;326
238859;450792;97749
280339;16596;27089
-384161;-636167;11387
400691;450382;71390
-252744;1337751;14282
475162;145501;1203
401431;475769;5115
250343;-773963;115633
236850;903563;738
131939;-595432;28391
259304;506378;963679
505039;44699;222
171899;-884976;1095
93077;23158;0
537098;279534;78032
219162;959560;16373
-162902;-635887;120
439159;176791;3938034
-223285;246849;226
-142350;-519253;17654
45353;1147277;5583
427339;254858;639
122383;-15616;106
-33731;299189;854
275142;904336;0
165388;-230418;22354
73697;123547;699566
125657;1049910;2010
561304;-1063468;5523
253548;511839;322480
480196;669237;672413
154542;187322;236525
-356751;-715430;337
358617;1041954;2696
351264;334299;10888
319522;352332;2037
45709;-742973;4717
-116455;433333;10372
-2280;158277;8145
-40383;217587;1962
359078;1277669;33364
75400;-55471;60602
97489;-837534;3011
451000;152000;0
215218;-777812;61786
562639;95018;346618
118251;425903;186936
154150;-613710;11429
268206;308025;2246
137942;-888965;0
234241;538478;6826
-18312;-781834;763
151794;397823;5887
486690;19;0
461512;149955;30338
404637;-37492;3048524
585953;250136;2497
91450;404897;209
-177134;1780650;1266
128797;1217740;871322
619241;257482;6908
466034;18883;19215
-8037;116094;0
134432;-153101;0
79465;-10232;49133
423154;433569;2356
121165;-616789;1291
390742;218243;1346
717069;-426043;6663
157835;-902308;0
48604;-589302;37941
99456;-96966;51053
16508;102679;1141
118037;-151804;1111831
189712;-722852;220272
151999;-862419;1024136
471625;195033;121392
155527;485164;161948
205937;789629;31627
-7893;1139213;3707717
324279;536880;1005
332232;436793;85559
531424;-76921;1041
649631;-190208;14621
310461;348516;10463
418719;125674;5229
181096;-772975;23084
362048;1382529;14979
305852;362384;0
426026;209030;2458
293759;479774;3520
198563;1024955;98
-296099;282336;3341
568796;246032;1612
338547;358623;116
64281;-94295;7019
263351;172283;11624
471660;95554;1699
551694;238813;1640
498153;61296;12971
416086;217453;705
-187669;468691;8229
42105;1019758;765
-132543;343015;6720
32028;732207;1161
175707;-39962;1728277
359375;143754;38196
317917;-70926;425
-203484;575522;0
210079;-109408;1379
236345;-1025528;23170
-186657;355296;361
474116;283699;72
437384;74246;1660
468625;1038467;622314
427087;193744;2181
-229576;184904;4867
283949;841240;5948
128654;-852072;39416
176078;80817;21235
90820;86753;25664
604720;84689;11804
-409006;1748860;264729
214735;559754;51756
521326;52913;2
85380;-807821;1663
-63146;1439555;652113
303753;693451;110892
-234425;-584438;118018
-91900;-750152;146603
519194;191451;7123
393999;-82245;140031
-236;379062;619385
412044;747661;169
553781;-34360;0
66111;209394;0
187357;-701627;0
498175;154730;5086
459432;249668;950
-19403;298739;105150
615240;1053188;7177
242155;-128858;28876
139094;-609789;0
419029;124534;4186
173578;-627820;2441
439424;124578;2692
1864;66131;11326
129843;-612872;7006
144974;-144524;181979
84606;-117799;33518
440165;210059;2006
-46796;554920;3033030
13521;1038198;1105
348021;389968;35415
51521;461996;721
78731;807718;448913
-265225;314659;207858
128628;302176;973
68770;313070;840
601282;186435;3915
468182;82275;1985
39193;-560278;6289
158700;1009925;0
236978;1209605;1295
388610;712761;949
-63690;348888;5250
-88742;1257275;466056
86195;8248;11011411
106918;-612225;6
338869;95375;85248
389637;352433;25387
483794;311656;3997775
13733;322903;2456
-325228;-557658;2938
370902;-957129;4101
413775;645853;0
64238;-665897;1370
140583;1082772;63
-131339;278493;17707
-190154;291549;2643
